s1_mean,s2_mean,s3_mean,x_mean,y_mean,z_mean,s1_variation,s2_variation,s3_variation,x_variation,y_variation,s1_std,x_std,s1_median,s3_median,x_median,y_max,z_max,s1_min,x_min,z_min,s1_skew,s2_skew,s3_skew,x_skew,y_skew,z_skew,s1_kurtosis,x_kurtosis,y_kurtosis,z_kurtosis,s1_kstatvar,y_kstatvar,z_kstatvar,s1_entropy,s2_entropy,s3_entropy,x_entropy,y_entropy,s2_peak_len,s2_peak_width,s2_weight_pred_k,x_peak_len,x_peak_width,x_weight_pred_k,y_peak_width,y_weight_pred_k,z_peak_len,z_peak_width,z_peak_height,z_weight_pred_k,x_peak_len_20_150,x_y_corr,z_y_corr,x_z_corr,Name,Kg,Target,stdovermean1,stdovermean2,stdovermean3
91.0025,88.84,127.6475,178.6475,-58.6525,-1331.735,1.4088876088887057,0.8919577412188746,1.2715684413290664,5.805104063653314,-9.144326973638238,128.2122946278944,1037.0673282115054,9.0,21.0,95.0,2279,126,-12,-2238,-4993,1.1841234045666664,1.2668674845023455,1.0552673152021506,1.681871710943331,-0.2928222048451082,-1.0558138950128284,-0.1559661820146356,3.881071996289239,7.540025892061482,0.9765980873823144,625932.014998268,992699044.921544,1292103156.9493985,0.0,6.339281729371003,0.0,0.0,0.0,9.0,15.522305566521917,2675.2868217054283,9.0,9.847558351638469,65043.90858954648,17.520811833505377,80283.7706674852,0.0,0.0,0.0,0.0,19,-0.8104649878711382,0.2602193463899631,-0.3569733118435405,a,89.2,Walking,1.3933726131217115,-0.4574639286366794,-10.38695238912183
90.14,81.1725,140.385,148.815,-20.315,-1343.855,1.3084278034091097,0.8360503437956843,1.2506375024651704,6.742589762467914,-26.956675294941466,117.94168219929712,1003.3984955016626,9.0,17.0,81.0,2182,154,-7,-2153,-6478,0.9170432448506892,1.1247516693520605,0.8900317620907916,1.8894771940619224,-0.8014764584799107,-1.659978624865132,-0.814193562949721,5.114007763582764,8.709277048810966,5.74295051693438,578408.1547950376,2437116954.6875515,9886421984.753902,0.0,5.67723157710163,0.0,0.0,0.0,4.0,5.731958594566336,5811.998157894741,5.0,9.904450931523485,54081.94619736052,32.778207305177204,153598.67943206037,1.0,15.677167926855532,154.0,0.0,9,-0.7523365908207722,0.2847373140722404,-0.337888750530267,a,89.2,Walking,1.26176765690465,-0.17224614420601395,-11.394232937335609
82.9876390605686,83.8566131025958,125.19777503090236,193.7725587144623,-18.639060568603213,-1245.4437577255871,1.4017688003370326,0.8783456230093561,1.2561029660831815,4.617909539747743,-26.37812756678452,116.32948324873593,894.8241474288451,12.0,24.0,101.0,2315,-80,-6,-3654,-3183,1.2368218597572955,1.2890024966298297,1.0484991819462757,1.2794798552567153,-0.0757970884453853,-0.896247628060703,0.0321568574667749,3.738119352593871,4.745388015692057,0.28851496539487,462304.0658499888,490071694.0904552,477867416.0700284,0.0,6.3624874549932215,0.0,0.0,0.0,9.0,15.08724489795918,5274.781433393025,10.0,11.773349694196156,54096.99384437147,23.06462797803277,63392.94350684125,0.0,0.0,0.0,0.0,20,-0.7010824308328147,0.1194395900512882,-0.3382022604640408,a,89.2,Walking,1.6657218213557903,-0.16022645375935468,-10.70617459086083
92.17775090689238,90.44860943168078,127.89359129383313,117.13180169286578,-81.95767835550181,-1366.3869407496975,1.3928767716288628,0.9116434416769836,1.2853139757861114,9.293951304570772,-6.708591946667615,128.39224809920174,1088.617261150135,9.0,20.0,40.0,2293,419,-4,-2547,-3595,1.1200579813460896,1.1074231845090576,1.0458119777446722,1.66903331843379,-0.4529245962008536,-0.7533733676791272,-0.3499078712101653,4.1429220416945824,7.564994233669326,-0.0458365786208121,544691.7354212038,1063122570.8187184,877113468.7771986,0.0,6.348449396036578,0.0,0.0,0.0,9.0,19.121043627031668,6366.832835222417,9.0,10.41806847360283,58881.66211345,22.710171821305806,139735.4626975317,2.0,15.092816819737152,392.0,60743.49225841563,16,-0.8394722581896981,0.4129347225096514,-0.4240873320995376,a,89.2,Walking,0.9122965243381701,-0.6383382140966762,-10.642285348052823
96.85661764705884,91.58088235294116,142.49264705882354,170.09803921568627,-106.38970588235294,-1390.8210784313726,1.3290811141248016,0.8888125029974986,1.209626003299252,6.954970473789987,-5.38462708489227,128.73030129271285,1183.0268403946693,10.0,27.0,62.0,2664,138,-13,-3058,-3515,1.0494023461723316,1.3001973898741197,0.937585508127365,1.5219901182249846,-0.2888061161230765,-0.8280149479192658,-0.4697582428095006,3.418807470970988,12.094271302263843,-0.1353418446620127,517323.53443006,1871385517.073484,1015429927.2779012,0.0,6.356838027180976,0.0,0.0,0.0,10.0,4.955962171052647,1625.7062570251005,10.0,9.949674665736495,72116.3894115752,12.048712021136067,39107.040558199136,0.0,0.0,0.0,0.0,17,-0.8106948094265737,0.3228264328307321,-0.3536929794018266,a,89.2,Walking,1.321351985566394,-0.8264542599060586,-10.804146843942048
99.1367816091954,98.71954022988506,137.78620689655173,157.32183908045977,-94.2735632183908,-1398.896551724138,1.3478955780278277,0.881668209706368,1.2382313006779266,7.177573518703093,-5.8246814683512165,133.6260295509449,1129.189066097577,9.0,24.0,54.0,2408,296,-12,-2842,-5377,1.0485095626242438,1.1664566690643896,0.9514195934870876,1.6528497838518774,-0.0840820262202742,-1.0656924999267596,-0.4682027396402115,3.737750298233217,7.198227458049036,1.301999933696259,563759.2983916191,966550235.9409876,1715514136.294726,0.0,6.421650483370181,0.0,0.0,0.0,10.0,10.102395013123356,2925.818181818216,10.0,9.94500926858938,63733.152201942365,20.533152306737307,47158.6330740238,3.0,15.954388391957252,199.0,59599.66063904444,18,-0.7931637194331448,0.3800656917297464,-0.3551044454259722,a,89.2,Walking,1.1773292943683613,-0.7055029887156007,-10.468742926996935
91.36,89.88625,138.2925,134.7125,-111.275,-1358.9675,1.3333694875696425,0.8682370630413512,1.2241870367884429,7.864076613321368,-4.5367814605796575,121.81663638436254,1059.3894207720548,9.0,25.0,48.0,2287,99,-6,-2982,-7038,1.0221539059927962,1.1302469190259388,0.9072219122997168,1.7383241662726443,0.1439447337307988,-1.5546035947763306,-0.5639916941600469,4.365448651901093,7.068481578732072,5.213569165984744,397059.3279796178,740671197.7877249,4227454011.940827,0.0,6.348114030825414,0.0,0.0,0.0,9.0,16.695702671312404,3151.594120838099,10.0,8.764662247593606,65002.70359297181,17.93116950922382,77360.72724639843,0.0,0.0,0.0,0.0,15,-0.7947034651948985,0.4165623959618328,-0.3752054664966777,a,89.2,Walking,1.1058629100129453,-0.913463081092627,-11.155844885686312
92.51102941176472,86.60416666666667,132.69117647058823,161.0735294117647,-101.18382352941175,-1343.921568627451,1.3371731391919652,0.8780930315867829,1.2352205406648438,6.34779706822739,-4.977567129213343,123.70326360840964,1022.4620777690382,11.0,23.5,56.0,2151,160,-8,-2369,-6131,1.0659647079674326,1.2666489237616911,0.9382110428659992,1.6452298088447086,-0.16013089160943,-1.582208795759633,-0.3980202686377625,3.698065572308274,7.052061911184671,4.539002080051998,461840.3678184398,717989289.1212524,3686782978.4485593,0.0,6.364369193453268,0.0,0.0,0.0,9.0,10.930289299407464,2806.580163853032,9.0,10.284812329518047,62290.11351967888,14.381773315180368,97738.29549698954,1.0,21.97695946424767,160.0,0.0,16,-0.8170783269947338,0.2958303092440726,-0.3623204393096657,a,89.2,Walking,1.3020960378349673,-0.8179559744657621,-10.864075283265914
91.848623853211,85.7408256880734,128.67660550458714,182.5137614678899,-116.43577981651376,-1367.5045871559632,1.3941466239133928,0.9111814933141672,1.2823579013677249,5.977279853169316,-4.788438985489298,128.05044885604525,1090.9358293481685,7.5,19.5,78.0,1961,31,-6,-2153,-3482,1.116367174229999,1.3238396026702166,1.0339346438096209,1.671975660940641,-0.7362277768048449,-0.8907293912408409,-0.3586605921277419,3.465039335296683,7.053924813110896,-0.0386612470108636,1020977.6555798912,2028837737.99494,1793300329.207543,0.0,5.720757833874999,0.0,0.0,0.0,5.0,8.630985915492971,3254.741197183094,5.0,10.078355704978437,58142.03406202059,21.568541033434656,91152.05990478703,0.0,0.0,0.0,0.0,10,-0.8113671800013428,0.331282524223821,-0.36397012919929,a,89.2,Walking,1.4253269949336336,-0.9092961473911837,-10.679420489133284
88.52184769038702,82.26841448189762,130.36079900124844,169.17977528089887,-103.82896379525592,-1328.8938826466915,1.3646295699371729,0.8827993031227039,1.254285915881836,6.271710653678807,-5.429559589300152,120.79953094377676,1061.0465990162,9.0,23.0,60.0,2065,91,-12,-2076,-3378,1.070950771908386,1.1644879160420132,0.964859709683382,1.847607072546248,-1.093632734211755,-0.8445559579888833,-0.4609136308291917,4.145252464909436,10.367428759920903,-0.0236231589370463,411056.6672636485,1568942647.8980377,878557929.1138502,0.0,6.339751324844956,0.0,0.0,0.0,9.0,15.05551086082056,1726.005658148904,9.0,9.935393497636484,54097.00855233104,24.19322756334361,323660.14675359125,0.0,0.0,0.0,0.0,17,-0.8287183260057003,0.2947320745881015,-0.3563811574710293,a,89.2,Walking,1.4005002665088122,-0.8595146271187146,-11.000819889484449
