iter	MultiClass
0	1.430097554
1	1.297560517
2	1.196684225
3	1.108093238
4	1.037248716
5	0.9763906855
6	0.9143430089
7	0.8621969133
8	0.8175421131
9	0.7732514002
10	0.7345697508
11	0.7009531111
12	0.6754312648
13	0.6435120348
14	0.6150112354
15	0.5910872603
16	0.5717386904
17	0.5520382898
18	0.5384572577
19	0.5183589653
20	0.5004733774
21	0.4854368336
22	0.4712081933
23	0.458090023
24	0.4452692842
25	0.432568284
26	0.4220307226
27	0.4110967761
28	0.4014415962
29	0.3927512175
30	0.3841472489
31	0.3757037225
32	0.3676881793
33	0.3595312058
34	0.3521781427
35	0.3434988386
36	0.3355267981
37	0.3293603209
38	0.3233672403
39	0.3188887311
40	0.3124582507
41	0.3076252073
42	0.3036413487
43	0.3004887202
44	0.2953980608
45	0.290005687
46	0.2850382501
47	0.2814138032
48	0.2766929383
49	0.2724309226
50	0.2690021137
51	0.2649799169
52	0.2616634194
53	0.2587105966
54	0.2558385743
55	0.252697549
56	0.2493071804
57	0.2478766395
58	0.2441375178
59	0.2408438499
60	0.239039705
61	0.2368233664
62	0.2336761951
63	0.2309303221
64	0.2281146096
65	0.2258989592
66	0.2239992881
67	0.2212919244
68	0.2190905786
69	0.2172541476
70	0.2146824841
71	0.2117884096
72	0.209447854
73	0.2074624006
74	0.2056518228
75	0.2039463924
76	0.2017174657
77	0.2008092778
78	0.1994177148
79	0.1981980604
80	0.1961813813
81	0.1950862
82	0.193257152
83	0.1919450962
84	0.1903683541
85	0.1898770215
86	0.1886865226
87	0.186281405
88	0.1849793843
89	0.1837799022
90	0.1828133098
91	0.1819377583
92	0.1803999499
93	0.1790419221
94	0.1781172023
95	0.1769853314
96	0.1757101087
97	0.1751260364
98	0.1740246885
99	0.1727414299
100	0.1717290831
101	0.1703392831
102	0.1693619929
103	0.1689957895
104	0.1682496252
105	0.1671009605
106	0.1658628577
107	0.1653009908
108	0.1644578188
109	0.1630761387
110	0.1622720861
111	0.161033716
112	0.159427048
113	0.1589026071
114	0.1577607572
115	0.1564396592
116	0.1558658699
117	0.1549191309
118	0.1532442804
119	0.1524823819
120	0.1510792988
121	0.149911778
122	0.1497459105
123	0.1493495374
124	0.1485023493
125	0.1471012181
126	0.1465748418
127	0.1461754431
128	0.1457094379
129	0.1450696506
130	0.1443991894
131	0.1438187793
132	0.1434975759
133	0.1428429387
134	0.1421865259
135	0.1418299198
136	0.1410042259
137	0.1406344378
138	0.1401326292
139	0.1394413828
140	0.1379429209
141	0.1375106763
142	0.136697181
143	0.1359596922
144	0.1354337822
145	0.1344823218
146	0.1338124135
147	0.1329797937
148	0.1325847301
149	0.1315457437
150	0.1310934205
151	0.1306343181
152	0.1300888123
153	0.1290314712
154	0.1286737296
155	0.128073038
156	0.1274446044
157	0.1268496198
158	0.1260929036
159	0.1256685108
160	0.1252311879
161	0.124650386
162	0.124242137
163	0.123848356
164	0.1237345324
165	0.1234659706
166	0.1227279103
167	0.1221255219
168	0.1216869493
169	0.1214605326
170	0.1209143136
171	0.1200310567
172	0.1194656627
173	0.1189983259
174	0.1185659672
175	0.1182659329
176	0.1179106404
177	0.1174523243
178	0.1168718423
179	0.1166486499
180	0.1158672722
181	0.115662828
182	0.1148644089
183	0.1144985704
184	0.1134972589
185	0.1132230038
186	0.1126017719
187	0.1120653826
188	0.111548288
189	0.1110315959
190	0.1103932116
191	0.1101444431
192	0.1096289163
193	0.109056906
194	0.1083065434
195	0.1076526175
196	0.1073737795
197	0.1069290321
198	0.106543479
199	0.1062165547
200	0.1056583817
201	0.1052605449
202	0.1044809661
203	0.1041403267
204	0.1035285988
205	0.1032290359
206	0.103030726
207	0.1027785718
208	0.1024906254
209	0.1021230212
210	0.1016139321
211	0.1010784385
212	0.1008933824
213	0.1005007238
214	0.1001693434
215	0.09962018132
216	0.09929600415
217	0.0987784388
218	0.09824605891
219	0.09782472893
220	0.09728890414
221	0.09668517404
222	0.09612365278
223	0.09571486925
224	0.09546066155
225	0.09532447433
226	0.09489308725
227	0.09460907484
228	0.09421958417
229	0.09403134828
230	0.09371325513
231	0.09326815078
